Spanish,English,Portuguese
la estación,the season,a estação do ano
primavera,spring,primavera
verano,summer,verão
otoño,autumn / fall,outono
invierno,winter,inverno
los medios de transporte,the means of transport,os meios de transporte
el tren,the train,o trem
el autobús,the bus,o ônibus
el metro,the subway,o metrô
el taxi,the taxi,o táxi
el avión,the airplane,o avião
el barco,the boat,o barco
la bicicleta,the bicycle,a bicicleta
el coche,the car,o carro
los lugares públicos,the public places,os lugares públicos
el hospital,the hospital,o hospital
la farmacia,the pharmacy,a farmácia
el banco,the bank,o banco
la biblioteca,the library,a biblioteca
el museo,the museum,o museu
el cine,the movie theater,o cinema
el teatro,the theater,o teatro
la oficina de correos,the post office,o correio
el parque,the park,o parque
la playa,the beach,a praia
el restaurante,the restaurant,o restaurante
el bar,the bar,o bar
el café,the coffee shop,o café
el supermercado,the supermarket,o supermercado
el centro comercial,the shopping mall,o shopping
el mercado,the market,o mercado
la tienda,the store,a loja
la escuela,the school,a escola
la universidad,the university,a universidade
los sentimientos,the feelings,os sentimentos
feliz,happy,feliz
triste,sad,triste
enojado/a,angry,bravo/a
contento/a,happy / content,contente
nervioso/a,nervous,nervoso/a
calmado/a,calm,calmo/a
cansado/a,tired,cansado/a
enfermo/a,sick,doente
saludable,healthy,saudável
sorprendido/a,surprised,surpreso/a
aburrido/a,bored,entediado/a
los pasatiempos,the hobbies,os passatempos
leer,to read,ler
escribir,to write,escrever
dibujar,to draw,desenhar
pintar,to paint,pintar
cantar,to sing,cantar
bailar,to dance,dançar
escuchar música,to listen to music,escutar música
ver televisión,to watch television,assistir televisão
jugar videojuegos,to play video games,jogar videogame
hacer deporte,to do sports,praticar esporte
cocinar,to cook,cozinhar
hornear,to bake,assar
caminar,to walk,caminhar
correr,to run,correr
nadar,to swim,nadar
ir de compras,to go shopping,ir às compras
ir al cine,to go to the movies,ir ao cinema
ir a un concierto,to go to a concert,ir a um show
viajar,to travel,viajar
fotografiar,to photograph,fotografar
los opuestos,the opposites,os opostos
grande,big,grande
pequeño/a,small,pequeno/a
alto/a,tall,alto/a
bajo/a,short,baixo/a
ancho/a,wide,largo/a
estrecho/a,narrow,estreito/a
largo/a,long,comprido/a
corto/a,short,curto/a
bueno/a,good,bom/boa
malo/a,bad,mau/má
bonito/a,pretty,bonito/a
feo/a,ugly,feio/a
limpio/a,clean,limpo/a
sucio/a,dirty,sujo/a
caliente,hot,quente
frío/a,cold,frio/a
cerca,near,perto
lejos,far,longe
abierto/a,open,aberto/a
cerrado/a,closed,fechado/a
fácil,easy,fácil
difícil,difficult,difícil
duro/a,hard,duro/a
blando/a,soft,macio/a
fuerte,strong,forte
débil,weak,fraco/a
rico/a,rich,rico/a
pobre,poor,pobre
feliz,happy,feliz
triste,sad,triste
alegre,cheerful,alegre
triste,sad,triste
rápido/a,fast,rápido/a
lento/a,slow,lento/a
lleno/a,full,cheio/a
vacío/a,empty,vazio/a
salado/a,salty,salgado/a
dulce,sweet,doce
agrio/a,sour,azedo/a
amargo/a,bitter,amargo/a
el día y la noche,the day and night,o dia e a noite
el día,the day,o dia
la noche,the night,a noite
la mañana,the morning,a manhã
la tarde,the afternoon,a tarde
el mediodía,noon,o meio-dia
la medianoche,midnight,a meia-noite
la luz,the light,a luz
la oscuridad,the darkness,a escuridão
el sol,the sun,o sol
la luna,the moon,a lua
las estrellas,the stars,as estrelas
la hora,the time,a hora
un minuto,one minute,um minuto
una hora,one hour,uma hora
un segundo,one second,um segundo
una semana,one week,uma semana
un mes,one month,um mês
un año,one year,um ano
la vida,the life,a vida
la muerte,the death,a morte
el trabajo,the work,o trabalho
el descanso,the rest,o descanso
el amor,the love,o amor
el odio,the hatred,o ódio
la paz,the peace,a paz
la guerra,the war,a guerra
la amistad,the friendship,a amizade
la felicidad,the happiness,a felicidade
la tristeza,the sadness,a tristeza
la esperanza,the hope,a esperança
el miedo,the fear,o medo
el coraje,the courage,a coragem
la bondad,the kindness,a bondade
la maldad,the evilness,a maldade
la verdad,the truth,a verdade
la mentira,the lie,a mentira
la pregunta,the question,a pergunta
la respuesta,the answer,a resposta
el inicio,the beginning,o início
el final,the end,o final
el éxito,the success,o sucesso
